번호,label,text,category
1,spam,"""축하드립니다! 최신 아이폰15 무료 당첨, 지금 링크를 클릭하세요!""",광고성스팸
2,ham,다음 주 월요일에 팀 회의가 있습니다. 시간 조율 부탁드립니다.,
3,spam,급하게 결제 정보를 확인하세요. 계정 정지가 예정되어 있습니다.,피싱스팸
4,ham,어제 요청하신 자료를 메일로 첨부했습니다. 확인 부탁드려요.,
5,spam,당신의 계좌에 이상 거래가 감지되었습니다. 바로 로그인하세요.,피싱스팸
6,ham,3분기 보고서 초안 공유드립니다. 피드백 부탁드립니다.,
7,spam,최저가 해외여행 찬스! 지금 바로 예약하세요!,광고성스팸
8,ham,학교 공지사항: 이번 주 금요일까지 강의 평가를 완료해주세요.,
9,spam,"50% 할인! 오늘 하루만, 쇼핑몰 세일 이벤트",광고성스팸
10,ham,회의록 정리본 전달드립니다. 다음 회의 일정은 추후 공지하겠습니다.,
11,spam,국세청 환급금 조회하세요. 클릭 후 정보 입력 필수,피싱스팸
12,ham,동아리 활동 관련 설문조사를 부탁드립니다.,
13,spam,신용카드 한도 증액 혜택! 지금 신청하세요!,광고성스팸
14,ham,이번 주 조별과제 관련 일정 다시 공유드립니다.,
15,spam,비트코인 급등! 투자 기회를 놓치지 마세요!,광고성스팸
16,ham,채용 공고 안내드립니다. 관심 있는 분들은 지원 바랍니다.,
17,spam,구글 계정 로그인 시도 알림: 비정상 접근 탐지됨,피싱스팸
18,ham,회식 일정 변경되었습니다. 금요일 오후 7시로 조정합니다.,
19,spam,대출 승인 완료! 간편 신청으로 바로 입금받으세요!,광고성스팸
20,ham,다음 주 교육 일정표를 공유드립니다. 필참 부탁드립니다.,
21,spam,"저금리 전환 대출 상품, 신청 서두르세요!",광고성스팸
22,ham,기말고사 일정 및 좌석 배치표를 첨부드립니다.,
23,spam,"VIP 고객 한정, 무료 영화관람 이벤트 참여하세요!",광고성스팸
24,ham,교수님께서 과제 제출 마감일을 연장해주셨습니다.,
25,spam,당신의 컴퓨터가 바이러스에 감염되었습니다! 즉시 치료하세요.,광고성스팸
26,ham,동아리 회식 장소 확정되었습니다. 공지 참고 바랍니다.,
27,spam,인스타그램 계정 인증 실패: 다시 로그인 필요,피싱스팸
28,ham,연구 프로젝트 관련 추가 자료를 전달드립니다.,
29,spam,무료 건강검진 쿠폰 발급 완료! 바로 확인하세요.,광고성스팸
30,ham,팀 프로젝트 최종 발표 일정 조율 요청드립니다.,
31,spam,한정판 운동화 사전 예약 중! 지금 바로 신청하세요.,광고성스팸
32,ham,프로젝트 회의록 초안을 검토해주시기 바랍니다.,
33,spam,주식 급등 정보 무료 제공! 가입만 하세요.,광고성스팸
34,ham,학사 일정 변경 공지드립니다. 참고 바랍니다.,
35,spam,특가 항공권 판매중! 오늘만 특별 할인!,광고성스팸
36,ham,학회 참가 신청 마감일이 다가왔습니다.,
37,spam,경품 이벤트 마지막 기회! 추첨에 참여하세요.,광고성스팸
38,ham,중간고사 범위 공지드립니다. 확인 부탁드립니다.,
39,spam,무료 카지노 크레딧 지급 중! 가입하세요!,광고성스팸
40,ham,다음 주 연구실 워크숍 일정 공유드립니다.,
41,spam,비트코인 대박 기회! 바로 투자하세요!,광고성스팸
